dish_id,dish_name,category,price,cost,unit,spicy_level,is_recommended,description
D0001,宫保鸡丁,热菜,72.75,18.28,份,微辣,False,美味的宫保鸡丁，新鲜食材制作
D0002,鱼香肉丝,热菜,41.81,12.78,份,微辣,True,美味的鱼香肉丝，新鲜食材制作
D0003,麻婆豆腐,热菜,16.18,5.27,份,中辣,True,美味的麻婆豆腐，新鲜食材制作
D0004,红烧肉,热菜,56.3,23.16,份,特辣,False,美味的红烧肉，新鲜食材制作
D0005,糖醋排骨,热菜,17.99,7.82,份,不辣,False,美味的糖醋排骨，新鲜食材制作
D0006,水煮鱼,热菜,31.45,11.82,份,中辣,False,美味的水煮鱼，新鲜食材制作
D0007,回锅肉,热菜,23.38,6.17,份,微辣,True,美味的回锅肉，新鲜食材制作
D0008,小炒黄牛肉,热菜,86.82,36.56,份,不辣,True,美味的小炒黄牛肉，新鲜食材制作
D0009,凉拌黄瓜,凉菜,30.24,11.4,份,不辣,True,美味的凉拌黄瓜，新鲜食材制作
D0010,口水鸡,凉菜,21.01,6.75,份,不辣,False,美味的口水鸡，新鲜食材制作
D0011,夫妻肺片,凉菜,29.36,12.84,份,不辣,False,美味的夫妻肺片，新鲜食材制作
D0012,拍黄瓜,凉菜,13.71,5.17,份,不辣,False,美味的拍黄瓜，新鲜食材制作
D0013,凉拌木耳,凉菜,66.33,18.75,份,不辣,True,美味的凉拌木耳，新鲜食材制作
D0014,蒜泥白肉,凉菜,29.6,12.88,份,不辣,False,美味的蒜泥白肉，新鲜食材制作
D0015,米饭,主食,52.56,20.34,份,不辣,True,美味的米饭，新鲜食材制作
D0016,面条,主食,26.32,6.75,份,不辣,True,美味的面条，新鲜食材制作
D0017,炒饭,主食,40.09,10.55,份,不辣,False,美味的炒饭，新鲜食材制作
D0018,包子,主食,78.11,24.44,份,不辣,False,美味的包子，新鲜食材制作
D0019,饺子,主食,47.94,20.47,份,不辣,False,美味的饺子，新鲜食材制作
D0020,馒头,主食,44.71,13.55,份,不辣,True,美味的馒头，新鲜食材制作
D0021,葱油饼,主食,67.6,24.19,份,不辣,False,美味的葱油饼，新鲜食材制作
D0022,番茄蛋汤,汤品,54.77,23.53,份,不辣,True,美味的番茄蛋汤，新鲜食材制作
D0023,紫菜蛋花汤,汤品,36.96,16.61,份,不辣,True,美味的紫菜蛋花汤，新鲜食材制作
D0024,酸辣汤,汤品,48.76,13.08,份,不辣,True,美味的酸辣汤，新鲜食材制作
D0025,排骨汤,汤品,76.89,21.57,份,不辣,True,美味的排骨汤，新鲜食材制作
D0026,鸡汤,汤品,71.37,23.87,份,不辣,True,美味的鸡汤，新鲜食材制作
D0027,豆腐汤,汤品,38.78,14.32,份,不辣,True,美味的豆腐汤，新鲜食材制作
D0028,可乐,饮品,50.33,22.36,份,不辣,True,美味的可乐，新鲜食材制作
D0029,雪碧,饮品,62.42,17.04,份,不辣,False,美味的雪碧，新鲜食材制作
D0030,橙汁,饮品,68.07,27.48,份,不辣,True,美味的橙汁，新鲜食材制作
D0031,奶茶,饮品,16.92,5.7,份,不辣,True,美味的奶茶，新鲜食材制作
D0032,咖啡,饮品,8.26,3.26,份,不辣,False,美味的咖啡，新鲜食材制作
D0033,柠檬水,饮品,29.07,10.18,份,不辣,True,美味的柠檬水，新鲜食材制作
D0034,冰淇淋,甜品,48.61,13.19,份,不辣,False,美味的冰淇淋，新鲜食材制作
D0035,蛋糕,甜品,31.88,12.04,份,不辣,False,美味的蛋糕，新鲜食材制作
D0036,布丁,甜品,23.91,7.77,份,不辣,True,美味的布丁，新鲜食材制作
D0037,西米露,甜品,51.15,20.75,份,不辣,False,美味的西米露，新鲜食材制作
D0038,双皮奶,甜品,81.48,30.13,份,不辣,True,美味的双皮奶，新鲜食材制作
D0039,红豆沙,甜品,9.56,4.17,份,不辣,True,美味的红豆沙，新鲜食材制作
