store_id,store_name,city,address,area,staff_count,manager,open_date,status
S001,北京王府井店,北京,北京市朝阳区某某路1号,80,12,经理1,2022-01-15,营业中
S002,上海南京路店,上海,上海市天河区某某路2号,120,18,经理2,2022-03-20,营业中
S003,广州天河店,广州,广州市海淀区某某路3号,150,22,经理3,2022-05-10,营业中
S004,深圳南山店,深圳,深圳市朝阳区某某路4号,90,14,经理4,2022-07-01,营业中
S005,杭州西湖店,杭州,杭州市南山区某某路5号,110,16,经理5,2022-08-15,营业中
S006,成都春熙店,成都,成都市朝阳区某某路6号,130,20,经理6,2022-10-01,营业中
S007,武汉江汉店,武汉,武汉市海淀区某某路7号,100,15,经理7,2022-11-20,营业中
S008,西安雁塔店,西安,西安市朝阳区某某路8号,140,24,经理8,2023-01-10,营业中
S009,南京新街口店,南京,南京市南山区某某路9号,95,13,经理9,2023-03-15,营业中
S010,重庆解放碑店,重庆,重庆市南山区某某路10号,125,19,经理10,2023-05-01,营业中
