cost_id,date,ingredient_name,dish_id,dish_name,unit,unit_price,quantity,total_cost,supplier
C00001,2024-01-09,米面,D0013,凉拌木耳,斤,4.79,40.0,208.17,供应商4
C00002,2024-06-06,调料,D0019,饺子,斤,13.25,35.8,420.08,供应商1
C00003,2024-05-09,食用油,D0022,番茄蛋汤,斤,17.48,13.2,303.51,供应商7
C00004,2024-05-17,鸡肉,D0009,凉拌黄瓜,斤,23.47,10.3,663.1,供应商3
C00005,2024-04-25,蔬菜,D0001,宫保鸡丁,斤,9.19,6.8,294.54,供应商7
C00006,2024-01-29,牛肉,D0030,橙汁,斤,83.23,8.5,2221.96,供应商4
C00007,2024-01-02,调料,D0008,小炒黄牛肉,斤,16.82,41.3,769.4,供应商7
C00008,2024-01-12,蔬菜,D0001,宫保鸡丁,斤,7.31,20.3,261.23,供应商8
C00009,2024-02-28,食用油,D0028,可乐,斤,22.66,47.7,231.68,供应商3
C00010,2024-02-05,牛肉,D0022,番茄蛋汤,斤,77.64,47.6,2354.41,供应商8
C00011,2024-05-07,米面,D0013,凉拌木耳,斤,5.64,24.3,207.99,供应商6
C00012,2024-06-11,蛋,D0039,红豆沙,斤,10.65,26.3,186.91,供应商7
C00013,2024-01-18,猪肉,D0030,橙汁,斤,30.82,44.5,1075.98,供应商8
C00014,2024-04-12,蛋,D0036,布丁,斤,14.06,45.8,624.25,供应商2
C00015,2024-01-07,牛肉,D0021,葱油饼,斤,61.62,13.4,853.02,供应商6
C00016,2024-05-22,蔬菜,D0037,西米露,斤,8.14,48.7,281.09,供应商7
C00017,2024-01-30,蛋,D0008,小炒黄牛肉,斤,10.37,14.1,192.01,供应商7
C00018,2024-01-03,米面,D0013,凉拌木耳,斤,4.35,40.5,43.82,供应商5
C00019,2024-05-29,蛋,D0012,拍黄瓜,斤,10.24,44.6,114.36,供应商4
C00020,2024-05-02,鱼肉,D0024,酸辣汤,斤,41.22,26.4,1094.1,供应商2
C00021,2024-02-14,调料,D0033,柠檬水,斤,15.65,33.2,682.98,供应商2
C00022,2024-02-07,牛肉,D0027,豆腐汤,斤,80.52,11.5,3158.26,供应商8
C00023,2024-05-11,猪肉,D0006,水煮鱼,斤,36.69,16.1,1427.37,供应商6
C00024,2024-02-27,蔬菜,D0035,蛋糕,斤,7.94,38.9,55.03,供应商6
C00025,2024-04-11,鸡肉,D0032,咖啡,斤,22.94,37.7,500.45,供应商8
C00026,2024-06-04,鱼肉,D0038,双皮奶,斤,50.04,10.7,1634.82,供应商7
C00027,2024-06-14,牛肉,D0032,咖啡,斤,65.41,28.5,1790.34,供应商2
C00028,2024-04-20,海鲜,D0034,冰淇淋,斤,68.87,8.0,607.29,供应商3
C00029,2024-06-13,鸡肉,D0037,西米露,斤,24.48,22.7,634.1,供应商6
C00030,2024-03-18,蛋,D0003,麻婆豆腐,斤,12.74,46.4,554.09,供应商8
C00031,2024-05-10,食用油,D0020,馒头,斤,19.7,44.2,708.81,供应商3
C00032,2024-04-30,米面,D0016,面条,斤,4.41,27.0,90.0,供应商2
C00033,2024-03-05,蔬菜,D0037,西米露,斤,9.42,44.4,299.08,供应商4
C00034,2024-03-21,米面,D0011,夫妻肺片,斤,5.84,30.5,120.79,供应商5
C00035,2024-02-19,米面,D0021,葱油饼,斤,5.16,23.5,87.08,供应商7
C00036,2024-06-20,鱼肉,D0014,蒜泥白肉,斤,50.35,45.1,567.32,供应商5
C00037,2024-02-18,米面,D0012,拍黄瓜,斤,5.5,29.9,78.1,供应商8
C00038,2024-05-28,蛋,D0001,宫保鸡丁,斤,10.93,37.6,485.58,供应商4
C00039,2024-02-22,海鲜,D0018,包子,斤,90.12,42.4,1193.05,供应商8
C00040,2024-04-05,鱼肉,D0014,蒜泥白肉,斤,44.42,37.3,2086.04,供应商8
C00041,2024-05-17,米面,D0013,凉拌木耳,斤,4.51,32.3,73.8,供应商7
C00042,2024-05-20,调料,D0007,回锅肉,斤,12.77,13.5,600.64,供应商8
C00043,2024-04-26,蛋,D0029,雪碧,斤,12.65,17.5,386.27,供应商4
C00044,2024-03-09,鸡肉,D0021,葱油饼,斤,29.84,33.3,806.58,供应商2
C00045,2024-05-01,调料,D0023,紫菜蛋花汤,斤,14.78,10.4,194.35,供应商6
C00046,2024-01-14,鸡肉,D0032,咖啡,斤,28.66,17.5,850.69,供应商5
C00047,2024-02-02,猪肉,D0036,布丁,斤,41.09,35.9,584.31,供应商1
C00048,2024-01-03,猪肉,D0009,凉拌黄瓜,斤,33.89,33.1,592.15,供应商7
C00049,2024-03-02,鱼肉,D0018,包子,斤,41.72,32.2,1619.89,供应商6
C00050,2024-03-01,牛肉,D0023,紫菜蛋花汤,斤,60.06,31.3,2360.71,供应商3
C00051,2024-04-08,鱼肉,D0031,奶茶,斤,46.78,5.8,571.55,供应商5
C00052,2024-05-04,猪肉,D0034,冰淇淋,斤,30.92,43.0,462.06,供应商8
C00053,2024-06-05,牛肉,D0030,橙汁,斤,81.35,46.3,1429.82,供应商1
C00054,2024-03-02,蔬菜,D0023,紫菜蛋花汤,斤,8.02,43.7,346.72,供应商8
C00055,2024-02-24,鱼肉,D0009,凉拌黄瓜,斤,39.83,8.7,1476.06,供应商8
C00056,2024-02-08,调料,D0023,紫菜蛋花汤,斤,17.22,38.8,103.94,供应商5
C00057,2024-02-22,食用油,D0007,回锅肉,斤,20.06,44.4,409.28,供应商1
C00058,2024-05-07,蛋,D0010,口水鸡,斤,12.79,42.7,413.05,供应商6
C00059,2024-02-06,猪肉,D0024,酸辣汤,斤,37.11,36.5,816.23,供应商7
C00060,2024-02-23,鱼肉,D0007,回锅肉,斤,43.2,23.2,699.6,供应商5
C00061,2024-02-29,调料,D0002,鱼香肉丝,斤,15.9,26.1,96.87,供应商4
C00062,2024-06-14,猪肉,D0013,凉拌木耳,斤,35.29,41.0,793.99,供应商6
C00063,2024-04-02,调料,D0034,冰淇淋,斤,12.86,24.6,322.01,供应商7
C00064,2024-01-23,调料,D0012,拍黄瓜,斤,14.09,15.3,302.89,供应商5
C00065,2024-05-02,牛肉,D0025,排骨汤,斤,63.63,43.4,2165.04,供应商4
C00066,2024-01-10,调料,D0021,葱油饼,斤,14.66,39.2,132.65,供应商3
C00067,2024-01-24,海鲜,D0026,鸡汤,斤,87.47,7.3,749.31,供应商5
C00068,2024-04-25,牛肉,D0020,馒头,斤,66.68,43.6,1169.11,供应商3
C00069,2024-02-28,调料,D0008,小炒黄牛肉,斤,14.39,28.4,222.06,供应商2
C00070,2024-06-07,鸡肉,D0031,奶茶,斤,26.26,40.2,1161.54,供应商3
C00071,2024-03-14,蛋,D0029,雪碧,斤,12.18,24.0,152.94,供应商1
C00072,2024-02-20,海鲜,D0008,小炒黄牛肉,斤,87.95,8.0,841.5,供应商3
C00073,2024-05-16,猪肉,D0036,布丁,斤,39.29,29.9,848.74,供应商3
C00074,2024-02-09,蛋,D0028,可乐,斤,14.12,16.1,76.16,供应商3
C00075,2024-03-10,蛋,D0020,馒头,斤,13.62,27.5,616.55,供应商7
C00076,2024-02-04,牛肉,D0016,面条,斤,60.68,12.0,664.63,供应商6
C00077,2024-05-26,蔬菜,D0014,蒜泥白肉,斤,8.09,25.5,299.0,供应商4
C00078,2024-02-11,海鲜,D0017,炒饭,斤,89.13,8.0,1959.45,供应商1
C00079,2024-03-14,食用油,D0029,雪碧,斤,20.7,27.0,806.09,供应商7
C00080,2024-05-14,食用油,D0024,酸辣汤,斤,23.73,47.4,496.6,供应商7
C00081,2024-03-05,蛋,D0010,口水鸡,斤,14.13,12.5,616.16,供应商3
C00082,2024-01-10,鱼肉,D0027,豆腐汤,斤,39.41,49.8,1690.2,供应商2
C00083,2024-06-03,调料,D0037,西米露,斤,14.76,18.5,89.66,供应商8
C00084,2024-02-20,鸡肉,D0004,红烧肉,斤,23.14,39.9,897.04,供应商8
C00085,2024-05-31,牛肉,D0031,奶茶,斤,75.4,18.6,1206.56,供应商1
C00086,2024-02-28,食用油,D0007,回锅肉,斤,18.77,23.0,695.99,供应商6
C00087,2024-02-22,食用油,D0012,拍黄瓜,斤,17.91,48.2,287.3,供应商3
C00088,2024-06-12,猪肉,D0034,冰淇淋,斤,33.37,7.4,865.25,供应商7
C00089,2024-06-16,调料,D0014,蒜泥白肉,斤,13.16,18.2,552.05,供应商8
C00090,2024-01-11,食用油,D0015,米饭,斤,17.47,19.9,331.33,供应商3
